id;city;city_ascii;country;admin_name
1;Tokyo;Tokyo;Japan;T?ky?
2;Jakarta;Jakarta;Indonesia;Jakarta
3;Delhi;Delhi;India;Delhi
4;Guangzhou;Guangzhou;China;Guangdong
5;Mumbai;Mumbai;India;Mah?r?shtra
6;Manila;Manila;Philippines;Manila
7;Shanghai;Shanghai;China;Shanghai
8;São Paulo;Sao Paulo;Brazil;São Paulo
9;Seoul;Seoul;Korea, South;Seoul
10;Mexico City;Mexico City;Mexico;Ciudad de México
11;Cairo;Cairo;Egypt;Al Q?hirah
12;New York;New York;United States;New York
13;Dhaka;Dhaka;Bangladesh;Dhaka
14;Beijing;Beijing;China;Beijing
15;Kolk?ta;Kolkata;India;West Bengal
16;Bangkok;Bangkok;Thailand;Krung Thep Maha Nakhon
17;Shenzhen;Shenzhen;China;Guangdong
18;Moscow;Moscow;Russia;Moskva
19;Buenos Aires;Buenos Aires;Argentina;Buenos Aires, Ciudad Autónoma de
20;Lagos;Lagos;Nigeria;Lagos
21;Istanbul;Istanbul;Turkey;?stanbul
22;Karachi;Karachi;Pakistan;Sindh
23;Bangalore;Bangalore;India;Karn?taka
24;Ho Chi Minh City;Ho Chi Minh City;Vietnam;H? Chí Minh
25;?saka;Osaka;Japan;?saka
26;Chengdu;Chengdu;China;Sichuan
27;Tehran;Tehran;Iran;Tehr?n
28;Kinshasa;Kinshasa;Congo (Kinshasa);Kinshasa
29;Rio de Janeiro;Rio de Janeiro;Brazil;Rio de Janeiro
30;Chennai;Chennai;India;Tamil N?du
31;Xi’an;Xi'an;China;Shaanxi
32;Lahore;Lahore;Pakistan;Punjab
33;Chongqing;Chongqing;China;Chongqing
34;Los Angeles;Los Angeles;United States;California
35;Baoding;Baoding;China;Hebei
36;London;London;United Kingdom;London, City of
37;Paris;Paris;France;Île-de-France
38;Linyi;Linyi;China;Shandong
39;Dongguan;Dongguan;China;Guangdong
40;Hyder?b?d;Hyderabad;India;Telang?na
41;Tianjin;Tianjin;China;Tianjin
42;Lima;Lima;Peru;Lima
43;Wuhan;Wuhan;China;Hubei
44;Nanyang;Nanyang;China;Henan
45;Hangzhou;Hangzhou;China;Zhejiang
46;Foshan;Foshan;China;Guangdong
47;Nagoya;Nagoya;Japan;Aichi
48;Tongshan;Tongshan;China;Jiangsu
49;Luanda;Luanda;Angola;Luanda
50;Zhoukou;Zhoukou;China;Henan
51;Ganzhou;Ganzhou;China;Jiangxi
52;Kuala Lumpur;Kuala Lumpur;Malaysia;Kuala Lumpur
53;Heze;Heze;China;Shandong
54;Quanzhou;Quanzhou;China;Fujian
55;Johannesburg;Johannesburg;South Africa;Gauteng
56;Chicago;Chicago;United States;Illinois
57;Nanjing;Nanjing;China;Jiangsu
58;Jining;Jining;China;Shandong
59;Hanoi;Hanoi;Vietnam;Hà N?i
60;Pune;Pune;India;Mah?r?shtra
61;Fuyang;Fuyang;China;Anhui
62;Ahmedabad;Ahmedabad;India;Gujar?t
63;Bogotá;Bogota;Colombia;Bogotá
64;Shenyang;Shenyang;China;Liaoning
65;Dar es Salaam;Dar es Salaam;Tanzania;Dar es Salaam
66;Khartoum;Khartoum;Sudan;Khartoum
67;Shangqiu;Shangqiu;China;Henan
68;Hong Kong;Hong Kong;Hong Kong;
69;Cangzhou;Cangzhou;China;Hebei
70;Riyadh;Riyadh;Saudi Arabia;Ar Riy??
71;Santiago;Santiago;Chile;Región Metropolitana
72;Xingtai;Xingtai;China;Hebei
73;Zhumadian;Zhumadian;China;Henan
74;Chattogram;Chattogram;Bangladesh;Chattogram
75;Surabaya;Surabaya;Indonesia;Jawa Timur
76;Zhanjiang;Zhanjiang;China;Guangdong
